Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	909	95	96	Ey 	0.125
2	9	Mi5	E5	336	336	1	2	1818	95	96	çeþm_	0.375
3	9	Mi5	E5	336	336	1	4	909	95	96	i 	0.5
4	53			0	0	0	0	0	0	0		0.5
5	9			-1	-1	1	8	455	100	0		0.5625
6	9	Sol5	G5	349	349	1	8	455	99	96	â	0.625
7	9	Fa5	F5	340	340	1	8	455	99	96		0.6875
8	9	Mi5	E5	336	336	1	8	455	95	96		0.75
9	9	Re5	D5	327	327	3	16	682	99	96	hû 	0.84375
10	9	Do5#4	C5#4	322	322	1	16	227	99	90		0.875
11	9	Si4b4	B4b4	310	310	1	16	227	99	96		0.90625
12	9	La4	A4	305	305	1	16	227	99	90		0.9375
13	9	Si4b4	B4b4	310	310	1	16	227	99	96		0.96875
14	9	Do5#4	C5#4	322	322	1	16	227	99	90		1
15	9	Si4b4	B4b4	310	310	1	8	455	99	96		1.0625
16	9	La4	A4	305	305	1	8	455	95	96		1.125
17	53			0	0	0	0	0	0	0		1.125
18	9	Mi5	E5	336	336	1	8	455	99	96	hicr_	1.1875
19	9	Re5	D5	327	327	1	8	455	99	96		1.25
20	9	Do5#4	C5#4	322	322	3	16	682	99	96		1.34375
21	9	Si4b4	B4b4	310	310	1	16	227	95	90		1.375
22	9	Si4b4	B4b4	310	310	3	16	682	99	96	i	1.46875
23	9	La4	A4	305	305	1	16	227	95	90		1.5
24	9			-1	-1	1	8	455	100	0		1.5625
25	53			0	0	0	0	0	0	0		1.5625
26	54			0	0	0	0	0	0	0	nikriz@?	1.5625
27	9	La4	A4	305	305	1	16	227	99	96	le 	1.59375
28	9	Si4b4	B4b4	310	310	1	16	227	99	90		1.625
29	9	La4	A4	305	305	1	8	455	99	96		1.6875
30	9	Sol4	G4	296	296	1	8	455	95	96		1.75
31	9	Do5#4	C5#4	322	322	1	8	455	99	96	a	1.8125
32	9	Si4b4	B4b4	310	310	1	16	227	99	96		1.84375
33	9	La4	A4	305	305	1	16	227	99	90		1.875
34	9	La4	A4	305	305	1	16	227	99	96		1.90625
35	9	Sol4	G4	296	296	1	16	227	99	90		1.9375
36	9	Sol4	G4	296	296	1	16	227	99	96		1.96875
37	9	Fa4#4	F4#4	291	291	1	16	227	95	90		2
38	9	Sol4	G4	296	296	1	4	909	95	96	man 	2.125
39	55			0	0	0	0	0	0	0		2.125
40	53			0	0	0	0	0	0	0		2.125
41	9	La4	A4	305	305	1	4	909	95	96	ten	2.25
42	9	La4	A4	305	305	3	16	682	99	96	ha	2.34375
43	9	Sol4	G4	296	296	1	16	227	99	90		2.375
44	9	Fa4#4	F4#4	291	291	1	8	455	95	96		2.4375
45	9	Sol4	G4	296	296	1	8	455	95	96	la	2.5
46	9	La4	A4	305	305	1	4	909	95	96	ra 	2.625
47	9			-1	-1	1	4	909	100	0		2.75
48	53			0	0	0	0	0	0	0		2.75
49	54			0	0	0	0	0	0	0	rast@re4	2.75
50	9	Si4b1	B4b1	313	313	3	16	682	99	96	sal	2.84375
51	9	La4	A4	305	305	1	16	227	99	90		2.875
52	9	Sol4	G4	296	296	1	8	455	99	96		2.9375
53	9	La4	A4	305	305	1	8	455	99	96		3
54	9	Sol4	G4	296	296	1	4	909	95	96		3.125
55	9	La4	A4	305	305	1	8	455	99	96	dýn 	3.1875
56	53			0	0	0	0	0	0	0		3.1875
57	9	Do5	C5	318	318	1	8	455	99	96		3.25
58	9	Do5	C5	318	318	1	8	455	99	96		3.3125
59	9	Si4b1	B4b1	313	313	1	8	455	95	96		3.375
60	9	Si4b1	B4b1	313	313	1	8	455	99	96	be	3.4375
61	9	La4	A4	305	305	1	4	909	95	96		3.5625
62	9	La4	A4	305	305	1	4	909	99	96	ni  	3.6875
63	9	Sol4	G4	296	296	1	16	227	99	96		3.71875
64	9	Fa4#4	F4#4	291	291	1	16	227	99	90		3.75
65	9	La4	A4	305	305	1	16	227	99	96		3.78125
66	9	Sol4	G4	296	296	1	16	227	99	90		3.8125
67	9	Fa4#4	F4#4	291	291	1	16	227	99	96		3.84375
68	9	Mi4	E4	283	283	1	16	227	99	90		3.875
69	9	Re4	D4	274	274	1	4	909	95	96		4
70	55			0	0	0	0	0	0	0		4
71	9			-1	-1	1	4	909	100	0		4.125
72	53			0	0	0	0	0	0	0		4.125
73	9	La4	A4	305	305	1	4	909	95	96	ten	4.25
74	9	La4	A4	305	305	3	16	682	99	96	ha	4.34375
75	9	Sol4	G4	296	296	1	16	227	99	90		4.375
76	9	Fa4#4	F4#4	291	291	1	8	455	95	96		4.4375
77	9	Sol4	G4	296	296	1	8	455	95	96	la	4.5
78	9	La4	A4	305	305	1	8	455	99	96	ra 	4.5625
79	9	Si4b4	B4b4	310	310	1	8	455	99	96		4.625
80	9	Sol4	G4	296	296	1	8	455	99	96		4.6875
81	9	La4	A4	305	305	1	8	455	99	96		4.75
82	9	Si4b4	B4b4	310	310	1	8	455	99	96		4.8125
83	9	Do5#4	C5#4	322	322	1	16	227	99	96		4.84375
84	9	Re5	D5	327	327	1	16	227	99	90		4.875
